8, 1039062, 1, 4096, 0
17, 8969062, 1, 4096, 4096
25, 9099062, 1, 4096, 8192
33, 8969062, 1, 4096, 12288
42, 9099062, 1, 4096, 16384
50, 8969062, 1, 4096, 20480
58, 9099062, 1, 4096, 24576
67, 8969062, 1, 4096, 28672
75, 9099062, 1, 4096, 32768
83, 8969062, 1, 4096, 36864
92, 9099062, 1, 4096, 40960
100, 8969062, 1, 4096, 45056
108, 9099062, 1, 4096, 49152
117, 8969062, 1, 4096, 53248
125, 9099062, 1, 4096, 57344
134, 8969062, 1, 4096, 61440
142, 9099062, 1, 4096, 65536
150, 8969062, 1, 4096, 69632
158, 9099062, 1, 4096, 73728
167, 8969062, 1, 4096, 77824
175, 9099062, 1, 4096, 81920
183, 8969062, 1, 4096, 86016
192, 9099062, 1, 4096, 90112
200, 8969062, 1, 4096, 94208
209, 9099062, 1, 4096, 98304
217, 8969062, 1, 4096, 102400
225, 9099062, 1, 4096, 106496
234, 8969062, 1, 4096, 110592
242, 9099062, 1, 4096, 114688
251, 8969062, 1, 4096, 118784
259, 9099062, 1, 4096, 122880
267, 8969062, 1, 4096, 126976
275, 9099062, 1, 4096, 131072
284, 8969062, 1, 4096, 135168
292, 9099062, 1, 4096, 139264
301, 8969062, 1, 4096, 143360
309, 9099062, 1, 4096, 147456
317, 8969062, 1, 4096, 151552
325, 9099062, 1, 4096, 155648
334, 8969062, 1, 4096, 159744
343, 9099062, 1, 4096, 163840
351, 8969062, 1, 4096, 167936
359, 9099062, 1, 4096, 172032
367, 8969062, 1, 4096, 176128
376, 9099062, 1, 4096, 180224
384, 8969062, 1, 4096, 184320
393, 9099062, 1, 4096, 188416
401, 8969062, 1, 4096, 192512
409, 9099062, 1, 4096, 196608
417, 8969062, 1, 4096, 200704
426, 9099062, 1, 4096, 204800
434, 8969062, 1, 4096, 208896
443, 9099062, 1, 4096, 212992
451, 8969062, 1, 4096, 217088
459, 9099062, 1, 4096, 221184
468, 8969062, 1, 4096, 225280
476, 9099062, 1, 4096, 229376
485, 8969062, 1, 4096, 233472
493, 9099062, 1, 4096, 237568
501, 8969062, 1, 4096, 241664
509, 9099062, 1, 4096, 245760
518, 8969062, 1, 4096, 249856
527, 9099062, 1, 4096, 253952
535, 8969062, 1, 4096, 258048
543, 9099062, 1, 4096, 262144
551, 8969062, 1, 4096, 266240
560, 9099062, 1, 4096, 270336
568, 8969062, 1, 4096, 274432
576, 9099062, 1, 4096, 278528
585, 8969062, 1, 4096, 282624
593, 9099062, 1, 4096, 286720
601, 8969062, 1, 4096, 290816
610, 9099062, 1, 4096, 294912
618, 8969062, 1, 4096, 299008
627, 9099062, 1, 4096, 303104
635, 8969062, 1, 4096, 307200
643, 9099062, 1, 4096, 311296
651, 8969062, 1, 4096, 315392
660, 9099062, 1, 4096, 319488
668, 8969062, 1, 4096, 323584
676, 9099062, 1, 4096, 327680
685, 8969062, 1, 4096, 331776
693, 9099062, 1, 4096, 335872
